x_site,y_site,n,slope,intercept,r2
21.1,8.1_34.2,63,0.9649835239585803,0.31041276582631516,0.9373722678400128
22.1,8.1_34.2,35,0.585294268048883,2.189484871792442,0.840281806028304
23.1,8.1_34.2,64,1.1191986401240923,-0.5356676985786185,0.8536723536882773
24.1_1.2,8.1_34.2,43,1.0461169359121185,0.6639972754656462,0.8947130547735483
27.1,8.1_34.2,14,1.0068727154020432,0.19067062525839434,0.9640704130210712
28.1,8.1_34.2,44,0.7215163875433338,3.091472744539661,0.6447215513333103
29.1,8.1_34.2,35,0.6863104270876492,1.5962046070498737,0.8702273686573438
30.1_17.1,8.1_34.2,20,1.0081853932729343,-0.24211888985395305,0.9483689096269509
31.2,8.1_34.2,15,0.6662132163792934,1.1927156585898062,0.9201051288878086
34.1_16.1,8.1_34.2,16,0.6875210290192324,1.1103548819321587,0.7918759550153878
2.1,9.1_17.2,94,0.8217561825572801,1.34229018615717,0.8020166730420757
3.1,9.1_17.2,306,1.0815769513173004,1.248747444944707,0.8430021110769299
5.1_19.3_24.2,9.1_17.2,137,1.1006143258560384,0.4897473587422997,0.9651344045775708
7.1_4.1,9.1_17.2,13,1.3310683932340361,-3.187293709133582,0.9374961193423295
7.2,9.1_17.2,65,0.9030059147758067,1.538864475579817,0.7945586511240637
