site_x,site_y,n_overlap,slope,intercept,r2
23.1,8.1_34.2,377,0.7766853350694023,1.4941564687225641,0.7647974826847737
34.1_16.1,8.1_34.2,175,0.6771507755099305,2.249248906621338,0.7650870681545847
34.1_16.1,5.1_19.3_24.2,150,0.6586525574060539,2.5326845899719133,0.7652347689702728
23.1,9.1_17.2,315,0.8361004601777279,1.4137100878156306,0.7713272417304922
24.1_1.2,19.1,158,1.0892503631826673,0.8598560005892976,0.7717402453654478
21.1,20.2,89,0.689911125967651,0.6889506997726751,0.7739162832723303
13.1_33.2,1.1,95,0.9347649199305298,0.38103392328010205,0.7741579095215602
34.1_16.1,21.1,210,0.6912423094336815,2.2313535751687494,0.7749298404598578
20.1,19.1,123,1.1535904333231577,0.14504995517596708,0.7768702785404599
9.2,5.1_19.3_24.2,39,1.100176979751315,0.5916107707372699,0.7791809181094058
7.2,7.1_4.1,84,1.2116762242039805,-0.6773962763722752,0.7801717386203824
27.1,8.1_34.2,194,0.8521337074887825,1.8910711461471235,0.7804000713170411
33.1,8.1_34.2,93,0.8341713898863511,2.455357259964788,0.7826935790331867
12.1_5.2,5.1_19.3_24.2,115,0.6783551175489203,2.517309937870984,0.7836357592159768
27.1,9.1_17.2,138,0.8536681270285724,0.9653222710973427,0.78546744461114415
23.1,7.2,82,1.115093606156328,-0.1548584925302153,0.7859021202374311
20.2,8.1_34.2,67,0.9836643529464396,1.278404772884174,0.7859679017504665
25.1,22.1,238,1.3275996816624585,-1.076831018521116,0.7865945029232616
19.1,8.1_34.2,166,0.7933506381719808,1.381551142721201,0.7866046015557911
23.1,9.2,68,0.6698189174950728,0.4598347770920021,0.7867651373723153
21.1,2.1,390,1.001005038290723,0.010689625579642913,0.7872381621457057
30.1_17.1,2.1,128,0.7983879469459593,1.1766381634530088,0.7873592783524159
33.1,14.1,93,0.8801192553886388,2.2343271247914727,0.7920435306780036
35.1,27.1,13,1.5279255147748474,-5.1411249716411955,0.7922574491986948
25.1,23.1,375,1.0477962601181792,0.8481749469610362,0.7931635044823765
27.1,23.1,194,1.0035674431769914,1.8100781019640282,0.7933032326132767
30.1_17.1,18.1_26.1,129,0.9140332882110604,1.1096858106163014,0.7938000740916599
9.1_17.2,2.1,299,0.878235778957481,0.5627395800805799,0.7949961519557958
28.1,27.1,117,0.7435512208222602,0.46340581620609417,0.7961217133408879
35.1,5.1_19.3_24.2,84,0.8160732276861511,1.6932761966342649,0.7963889695808066
34.1_16.1,2.1,194,0.742859067518654,1.1641778963441038,0.8001773299007371
20.1,18.1_26.1,129,1.272969903766098,-0.8238814381575151,0.800605437288655
35.1,33.1,70,0.980318681068468,-0.296047444947988,0.8013867434357332
31.2,25.1,85,0.6164621910936084,2.018192884964943,0.80230077746424
