sensor_id,site_id,latitude,longitude,datetime_utc,pm25,removal_reason
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T17:30:00Z,1091.721,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T18:00:00Z,263.159,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T18:30:00Z,522.015,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T19:00:00Z,1957.418,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T19:30:00Z,1738.302,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T20:00:00Z,2737.637,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T20:30:00Z,2490.213,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T21:00:00Z,2057.832,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T21:30:00Z,1810.115,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T22:30:00Z,1642.552,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T23:00:00Z,459.498,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-27T23:30:00Z,367.796,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T00:00:00Z,457.967,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T03:00:00Z,523.228,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T03:30:00Z,688.467,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T04:00:00Z,478.324,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T11:30:00Z,400.873,PM2.5 > 250
18.1,18.1_26.1,41.47918,-81.75257,2025-04-28T12:00:00Z,625.043,PM2.5 > 250
